RESTAURANT_NAME,CITY,AREA,RATING,RATING_COUNT,CUSINE,Online_Order,TABLE_RESERVATION,FAMOUS_FOOD
"Pishoriya Vegetarian Dhaba","Delhi NCR","Punjabi Bagh",3.3,20,"North Indian",Yes,No,NULL
Ambarsaria,"Delhi NCR",Ramprastha,3.4,202,"North Indian, Chinese",Yes,No,"Masala Chaap , Kadai Paneer , Dal Makhani , Butter Chicken"
"Malvan Kinara",Mumbai,Chembur,3.4,26,Malwani,No,No,NULL
"Kerala - Kingdom of Dreams","Delhi NCR","Sector 29, Gurgaon",2.6,37,"Fast Food",No,No,NULL
"New Arsalan Biryani",Kolkata,Rishra,3.7,64,Biryani,Yes,No,NULL
"Sana Egg Roll","Delhi NCR",Munirka,0,0,Rolls,No,No,NULL
"Brew Sixteen","Delhi NCR","DLF Phase 2",3.8,52,"Pizza, Sandwich, Fast Food, Beverages",Yes,No,"Coffee , Sandwich , Pizza , Cappuccino"
"Lobby Bar - Zone By The Park",Kolkata,"New Town",0,0,"North Indian, Continental",No,No,NULL
"Ishu Paan","Delhi NCR","Sector 72, Noida",0,0,Paan,No,No,NULL
"Chaat Chobara","Delhi NCR","MG Road, Gurgaon",3.5,32,"Street Food",Yes,No,"Chole , Dahi Bhalle , Vada Pav , Tikki , Pav Bhaji"
"New Modern Cafe",Mumbai,"Dombivali East",3.9,738,"North Indian, Chinese, South Indian, Fast Food, Beverages",No,No,"Pav Bhaji , Masala Dosa , Pizza , Faluda , Sandwich , Dal Kichadi , Vada"
"Mishti's Kitchen","Delhi NCR","Sector 51, Noida",3.7,470,Mughlai,Yes,No,"Butter Chicken , Biryani , Kadhai Paneer , Naan , Dal Makhani , Roti , Tandoori Chicken"
"Anjali Resaturant","Delhi NCR","Vasundhara Enclave",3,5,"North Indian",No,No,NULL
"Yummy In Tummy","Delhi NCR",Indirapuram,3.2,16,"Chinese, North Indian, Rolls",Yes,No,NULL
"Rajinder Da Dhaba","Delhi NCR",Safdarjung,4.2,5537,"North Indian, Rolls",No,No,"Butter Chicken , Chicken Curry , Chicken Satay , Galauti Kebab , Dal Makhani , Fish , Tandoori Chicken"
"Jia Mom's","Delhi NCR","Rajouri Garden",0,0,"Fast Food",No,No,NULL
